========================================
INITIAL EVALUATION: CNNTrasnformer
========================================
Model Name: CNNTrasnformer
Epochs: 10
Training Time: 77.90 seconds
Highest Val Acc: 0.8166
Default Test Acc: 0.3381
Test ROC-AUC: 0.9718
Test EER (%): 9.01%
Optimal Threshold: 0.000690

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 10
Training Time: 78.11 seconds
Highest Val Acc: 0.8166
Default Test Acc: 0.3488
Test ROC-AUC: 0.9741
Test EER (%): 8.61%
Optimal Threshold: 0.000728

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 641.01 seconds
Highest Val Acc: 0.9999
Default Test Acc: 0.7776
Test ROC-AUC: 0.9721
Test EER (%): 8.80%
Optimal Threshold: 0.000591

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 270.80 seconds
Highest Val Acc: 0.9388
Default Test Acc: 0.3258
Test ROC-AUC: 0.9205
Test EER (%): 15.42%
Optimal Threshold: 0.001042

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 673.09 seconds
Highest Val Acc: 0.9969
Default Test Acc: 0.3430
Test ROC-AUC: 0.9146
Test EER (%): 16.67%
Optimal Threshold: 0.000445

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 346.58 seconds
Highest Val Acc: 0.9819
Default Test Acc: 0.5358
Test ROC-AUC: 0.9562
Test EER (%): 10.44%
Optimal Threshold: 0.001827

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 383.99 seconds
Highest Val Acc: 0.9913
Default Test Acc: 0.5518
Test ROC-AUC: 0.9739
Test EER (%): 8.40%
Optimal Threshold: 0.002745

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 622.85 seconds
Highest Val Acc: 0.9886
Default Test Acc: 0.5186
Test ROC-AUC: 0.9810
Test EER (%): 6.54%
Optimal Threshold: 0.000952

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 349.18 seconds
Highest Val Acc: 0.9886
Default Test Acc: 0.5367
Test ROC-AUC: 0.9769
Test EER (%): 8.12%
Optimal Threshold: 0.000957

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 332.32 seconds
Highest Val Acc: 0.9886
Default Test Acc: 0.4663
Test ROC-AUC: 0.9835
Test EER (%): 6.81%
Optimal Threshold: 0.000906

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 567.57 seconds
Highest Val Acc: 0.9985
Default Test Acc: 0.6290
Test ROC-AUC: 0.9823
Test EER (%): 6.87%
Optimal Threshold: 0.000687

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 466.80 seconds
Highest Val Acc: 0.9985
Default Test Acc: 0.4139
Test ROC-AUC: 0.9734
Test EER (%): 8.20%
Optimal Threshold: 0.001655

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 360.01 seconds
Highest Val Acc: 0.9985
Default Test Acc: 0.3762
Test ROC-AUC: 0.9787
Test EER (%): 7.55%
Optimal Threshold: 0.000702

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 362.00 seconds
Highest Val Acc: 0.9985
Default Test Acc: 0.4345
Test ROC-AUC: 0.9784
Test EER (%): 7.53%
Optimal Threshold: 0.000559

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 488.01 seconds
Highest Val Acc: 0.9985
Default Test Acc: 0.9328
Test ROC-AUC: 0.9820
Test EER (%): 6.72%
Optimal Threshold: 0.002008

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 282.28 seconds
Highest Val Acc: 0.9985
Default Test Acc: 0.9155
Test ROC-AUC: 0.9756
Test EER (%): 8.46%
Optimal Threshold: 0.000572

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTrasnformer
Epochs: 100
Training Time: 717.45 seconds
Highest Val Acc: 0.9985
Default Test Acc: 0.9321
Test ROC-AUC: 0.9818
Test EER (%): 6.80%
Optimal Threshold: 0.000329
