            AUDIO DEEPFAKE ARCHITECTURE LEADERBOARD (RANKED BY BEST EER)             
=====================================================================================
Model Name           | Highest Val Acc | Test Acc   | Test ROC-AUC | Test EER (%)
-------------------------------------------------------------------------------------
SwinTransformer      | 0.9965          | 0.9285     | 0.9767       | 7.14%       
Resnet18             | 0.9998          | 0.9234     | 0.9825       | 7.65%       
CNNTRANSFORMER       | 0.9996          | 0.9058     | 0.9709       | 9.42%       
Resnet50             | 0.9999          | 0.9001     | 0.9689       | 9.99%       
VIT                  | 0.9954          | 0.8932     | 0.9562       | 10.69%      
DEIT_Hard            | 0.9960          | 0.8884     | 0.9496       | 11.16%      
DEIT_Soft            | 0.9962          | 0.8881     | 0.9504       | 11.19%      
