            AUDIO DEEPFAKE ARCHITECTURE LEADERBOARD (RANKED BY BEST EER)             
=====================================================================================
Model Name           | Highest Val Acc | Test Acc   | Test ROC-AUC | Test EER (%)
-------------------------------------------------------------------------------------
Resnet18             | 0.9999          | 0.9252     | 0.9830       | 7.46%       
CNNTRANSFORMER       | 0.9873          | 0.9186     | 0.9719       | 8.14%       
Resnet50             | 0.9999          | 0.9141     | 0.9729       | 8.59%       
SwinTransformer      | 0.9915          | 0.9077     | 0.9555       | 9.25%       
VIT                  | 0.9876          | 0.9036     | 0.9611       | 9.64%       
DEIT_Hard            | 0.9950          | 0.9031     | 0.9571       | 9.69%       
DEIT_Soft            | 0.9969          | 0.8680     | 0.9568       | 10.17%      
