            AUDIO DEEPFAKE ARCHITECTURE LEADERBOARD (RANKED BY BEST EER)             
=====================================================================================
Model Name           | Highest Val Acc | Test Acc   | Test ROC-AUC | Test EER (%)
-------------------------------------------------------------------------------------
SwinTransformer      | 0.9975          | 0.9308     | 0.9732       | 6.93%       
Resnet50             | 0.9998          | 0.9285     | 0.9797       | 7.15%       
SwinTransformer_8_H  | 0.9989          | 0.9247     | 0.9702       | 7.53%       
Resnet18             | 0.9998          | 0.9234     | 0.9825       | 7.65%       
CNNTRANSFORMER       | 0.9998          | 0.9211     | 0.9800       | 7.89%       
VIT                  | 0.9954          | 0.9167     | 0.9689       | 8.32%       
DEIT_Hard            | 0.9962          | 0.9004     | 0.9620       | 9.97%       
DEIT_Soft            | 0.9961          | 0.8925     | 0.9535       | 10.75%      
