            AUDIO DEEPFAKE ARCHITECTURE LEADERBOARD (RANKED BY BEST EER)             
=====================================================================================
Model Name           | Highest Val Acc | Test Acc   | Test ROC-AUC | Test EER (%)
-------------------------------------------------------------------------------------
SwinTransformer      | 0.9975          | 0.5493     | 0.8669       | 22.21%      
Resnet18             | 0.9997          | 0.7211     | 0.7788       | 27.89%      
